"date","low_risk","medium_risk","high_risk","guarantee"
2007-01-31,85.89,85.89,85.89,85.89
2007-02-28,86.09,86.09,86.09,86.09
2007-03-31,88.55,88.55,88.55,88.55
2007-04-30,89.18,89.18,89.18,89.18
2007-05-31,90.03,90.03,90.03,90.03
2007-06-30,90.08,90.08,90.08,90.08
2007-07-31,90.06,90.06,90.06,90.06
2007-08-31,89.63,89.63,89.63,89.63
2007-09-30,91.52,91.52,91.52,91.52
2007-10-31,92.09,92.09,92.09,92.09
2007-11-30,90.28,90.28,90.28,90.28
2007-12-31,90.03,90.03,90.03,90.03
2008-01-31,86.47,86.47,86.47,86.47
2008-02-29,86.93,86.93,86.93,86.93
2008-03-31,84.89,84.89,84.89,84.89
2008-04-30,86.26,86.26,86.26,86.26
2008-05-31,87.04,87.04,87.04,87.04
2008-06-30,84.91,84.91,84.91,84.91
2008-07-31,84.48,84.48,84.48,84.48
2008-08-31,84.85,84.85,84.85,84.85
2008-09-30,80.6,80.6,80.6,80.6
2008-10-31,74.08,74.08,74.08,74.08
2008-11-30,72.32,72.32,72.32,72.32
2008-12-31,72.13,72.13,72.13,72.13
2009-01-31,72.04,72.04,72.04,72.04
2009-02-28,69.32,69.32,69.32,69.32
2009-03-31,69.99,69.99,69.99,69.99
2009-04-30,74.18,74.18,74.18,74.18
2009-05-31,76.17,76.17,76.17,76.17
2009-06-30,76.69,76.69,76.69,76.69
2009-07-31,79.09,79.09,79.09,79.09
2009-08-31,79.63,79.63,79.63,79.63
2009-09-30,80.72,80.72,80.72,80.72
2009-10-31,81.5,81.5,81.5,81.5
2009-11-30,83,83,83,83
2009-12-31,86.08,86.08,86.08,86.08
2010-01-31,84.68,84.68,84.68,84.68
2010-02-28,85.39,85.39,85.39,85.39
2010-03-31,87.97,87.97,87.97,87.97
2010-04-30,88.69,88.69,88.69,88.69
2010-05-31,86.61,86.61,86.61,86.61
2010-06-30,86.58,86.58,86.58,86.58
2010-07-31,87.54,87.54,87.54,87.54
2010-08-31,87.51,87.51,87.51,87.51
2010-09-30,89.06,89.06,89.06,89.06
2010-10-31,93,93,93,93
2010-11-30,93.31,93.31,93.31,93.31
2010-12-31,97.15,97.15,97.15,97.15
2011-01-31,97.05,97.05,97.05,97.05
2011-02-28,98.22,98.22,98.22,98.22
2011-03-31,97.67,97.67,97.67,97.67
2011-04-30,98.81,98.81,98.81,98.81
2011-05-31,99.29,99.29,99.29,99.29
2011-06-30,97.92,97.92,97.92,97.92
2011-07-31,97.24,97.24,97.24,97.24
2011-08-31,93.52,93.52,93.52,93.52
2011-09-30,90.77,90.77,90.77,90.77
2011-10-31,95.3,95.3,95.3,95.3
2011-11-30,94.46,94.46,94.46,94.46
2011-12-31,95.83,95.83,95.83,95.83
2012-01-31,98.38,98.38,98.38,98.38
2012-02-29,100.37,100.37,100.37,100.37
2012-03-31,100.91,100.91,100.91,100.91
2012-04-30,100.84,100.84,100.84,100.84
2012-05-31,97.67,97.67,97.67,97.67
2012-06-30,100,100,100,100
2012-07-31,101.65,102.08,102.32,102.08
2012-08-31,102.61,103.4,103.93,103.4
2012-09-30,103.39,104.44,105.13,104.44
2012-10-31,103.1,103.88,104.31,103.88
2012-11-30,104.02,105,105.59,105
2012-12-31,104.25,105.21,105.68,105.21
2013-01-31,106.26,108.64,110.53,108.64
2013-02-28,107.35,109.94,112.07,109.94
2013-03-31,108.51,111.61,114.21,111.61
2013-04-30,109.61,113.09,116.02,113.09
2013-05-31,110.66,114.76,118.38,114.76
2013-06-30,108.49,112,115.19,112
2013-07-31,110.66,115.13,119.21,115.13
2013-08-31,109,113.04,116.77,113.04
2013-09-30,111.04,116.13,120.98,116.13
2013-10-31,113.77,119.63,125.13,119.63
2013-11-30,115,121.48,127.54,121.48
2013-12-31,115.06,121.73,128.34,121.73
2014-01-31,114.83,120.74,126.22,120.74
2014-02-28,117.05,123.87,130.27,123.87
2014-03-31,118.02,125.11,131.72,125.11
2014-04-30,118.75,125.95,132.59,125.95
2014-05-31,121.08,129.1,136.49,129.1
2014-06-30,121.81,130.04,137.67,130.04
2014-07-31,121.75,129.85,137.31,129.85
2014-08-31,123.7,132.66,141.07,132.66
2014-09-30,124.1,133.43,142.17,133.43
2014-10-31,125.36,135.19,144.45,135.19
2014-11-30,127.1,137.95,148.29,137.94
2014-12-31,127.17,138.29,148.88,138.29
2015-01-31,130.06,142.46,154.36,142.46
2015-02-28,133.6,148.05,162.27,148.05
2015-03-31,134.73,149.99,164.94,149.98
2015-04-30,135.51,151.09,166.28,151.09
2015-05-31,136.29,152.68,168.69,152.69
2015-06-30,133.39,148.47,162.89,148.47
2015-07-31,135.29,151.4,166.83,151.53
2015-08-31,130.08,143.14,155.22,143.25
2015-09-30,128.12,140.03,150.55,140.17
2015-10-31,132.47,146.77,160.45,147.21
2015-11-30,134,149.28,163.96,148.37
2015-12-31,132.02,146.33,159.99,145.85
2016-01-31,128.5,140.06,150.47,141.7
2016-02-29,127.53,138.44,148.18,141.6
2016-03-31,130.17,141.84,152.27,146.65
2016-04-30,130.55,141.87,152.05,145.38
2016-05-31,132.47,145.03,156.47,148.79
2016-06-30,131.32,143.18,153.87,148.82
2016-07-31,134.01,147.14,159.34,153.62
2016-08-31,134.67,147.82,160.04,154.31
2016-09-30,134.56,147.61,159.73,154.34
2016-10-31,134.51,147.13,158.82,151.37
2016-11-30,136.66,150.29,163.13,151.79
2016-12-31,138.55,152.72,166.16,153.85
2017-01-31,138.98,153.45,167.27,154.57
